"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"RSG","RESOLUTE MINING LIMITED","1979-01-11","Materials",662335624
"RSH","RESPIRI LIMITED","2000-07-14","Health Care Equipment & Services",47707492
"RTE","RETECH TECHNOLOGY CO., LIMITED","2017-06-22","Consumer Services",71038353
"RTG","RTG MINING INC.","2014-06-05","Materials",108844322
"RTR","RUMBLE RESOURCES LIMITED","2011-07-01","Materials",294557684
"RUL","RPMGLOBAL HOLDINGS LIMITED","2008-05-27","Software & Services",446463946
"RVR","RED RIVER RESOURCES LIMITED","2005-07-15","Materials",106143745
"RVS","REVASUM INC.","2018-12-04","Semiconductors & Semiconductor Equipment",38553439
"RWC","RELIANCE WORLDWIDE CORPORATION LIMITED","2016-04-29","Capital Goods",4140096569
"RWD","REWARD MINERALS LTD","1991-12-12","Materials",25376350
"RXH","REWARDLE HOLDINGS LIMITED","2014-10-07","Media & Entertainment",7368501
"RXL","ROX RESOURCES LIMITED","2004-04-27","Materials",71711464
"RXM","REX MINERALS LIMITED","2007-09-20","Materials",164705159
"RYD","RYDER CAPITAL LIMITED","2015-09-28","Not Applic",120783740
"RZI","RAIZ INVEST LIMITED","2018-06-21","Diversified Financials",128269237
"S2R","S2 RESOURCES LTD","2015-10-19","Materials",40935853
"S32","SOUTH32 LIMITED","2015-05-18","Materials",13275687957
"S66","STAR COMBO PHARMA LIMITED","2018-05-16","Household & Personal Products",39066616
"SAN","SAGALIO ENERGY LIMITED","2011-12-15","Energy",5525824
"SAS","SKY AND SPACE COMPANY LTD","2006-05-22","Telecommunication Services","N/A"
"SAU","SOUTHERN GOLD LIMITED","2005-04-21","Materials",14506355
"SB2","SALTER BROTHERS EMERGING COMPANIES LIMITED","2021-06-16","Not Applic",89672444
"SBM","ST BARBARA LIMITED","1969-05-15","Materials",1320464366
"SBR","SABRE RESOURCES LIMITED","1987-12-17","Materials",8415318
"SBW","SHEKEL BRAINWEIGH LTD","2018-11-20","Software & Services",22976250
"SCG","SCENTRE GROUP","2014-06-25","Real Estate",13235464764
"SCI","SILVER CITY MINERALS LIMITED","2011-07-06","Materials",16832343
"SCL","SCHROLE GROUP LTD","2013-11-11","Software & Services",19940383
"SCN","SCORPION MINERALS LIMITED","2007-03-07","Materials",19613161
"SCP","SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP","2012-11-26","Real Estate",2624452012
"SCT","SCOUT SECURITY LIMITED","2017-08-25","Consumer Services",10710646
"SCU","STEMCELL UNITED LIMITED","2000-06-13","Pharmaceuticals, Biotechnology & Life Sciences",20866413
"SDF","STEADFAST GROUP LIMITED","2013-08-02","Insurance",3860777933
"SDG","SUNLAND GROUP LIMITED","1995-02-28","Real Estate",335428312
"SDI","SDI LIMITED","1985-11-07","Health Care Equipment & Services",105790322
"SDV","SCIDEV LTD","2002-05-02","Materials",134742206
"SE1","SENSERA LIMITED","2016-12-23","Semiconductors & Semiconductor Equipment",12937761
"SEC","SPHERIA EMERGING COMPANIES LIMITED","2017-12-05","Not Applic",141353988
"SEG","SPORTS ENTERTAINMENT GROUP LIMITED","2000-11-28","Media & Entertainment",58930769
"SEK","SEEK LIMITED","2005-04-19","Media & Entertainment",10851069131
"SEN","SENETAS CORPORATION LIMITED","1984-06-21","Technology Hardware & Equipment",61682503
"SEQ","SEQUOIA FINANCIAL GROUP LTD","2000-09-19","Diversified Financials",77647171
"SER","STRATEGIC ENERGY RESOURCES LIMITED","1991-08-15","Materials",9994070
"SES","SECOS GROUP LTD","1996-11-21","Materials",168809087
"SFC","SCHAFFER CORPORATION LIMITED","1974-01-01","Automobiles & Components",290911673
"SFG","SEAFARMS GROUP LIMITED","1990-06-14","Food, Beverage & Tobacco",150445106
"SFM","SANTA FE MINERALS LTD","2011-10-07","Materials",5971141
"SFR","SANDFIRE RESOURCES LIMITED","2004-03-04","Materials",1135460991
"SFX","SHEFFIELD RESOURCES LIMITED","2010-12-15","Materials",109007250
"SGC","SACGASCO LIMITED","2005-10-11","Energy",22442186
"SGF","SG FLEET GROUP LIMITED","2014-03-04","Commercial & Professional Services",892189110
"SGH","SLATER & GORDON LIMITED","2007-05-21","Consumer Services",95974560
"SGI","STEALTH GLOBAL HOLDINGS LTD","2018-10-02","Capital Goods",10468500
"SGLLV","RICEGROWERS LIMITED","2019-04-08","Food, Beverage & Tobacco",419857129
"SGM","SIMS LIMITED","2005-10-21","Materials",3086804923
"SGP","STOCKLAND","1987-02-19","Real Estate",10431940163
"SGQ","ST GEORGE MINING LIMITED","2010-11-16","Materials",40654175
"SGR","THE STAR ENTERTAINMENT GROUP LIMITED","2011-06-06","Consumer Services",3370130303
"SHE","STONEHORSE ENERGY LIMITED","2000-07-24","Energy",17046244
"SHG","SINGULAR HEALTH GROUP LTD","2021-02-12","Health Care Equipment & Services",30325666
"SHH","SHREE MINERALS LIMITED","2010-02-18","Materials",13822080
"SHJ","SHINE JUSTICE LTD","2013-05-15","Consumer Services",181058594
"SHL","SONIC HEALTHCARE LIMITED","1987-04-30","Health Care Equipment & Services",19156016506
"SHM","SHRIRO HOLDINGS LIMITED","2015-06-23","Consumer Durables & Apparel",108399750
"SHN","SUNSHINE GOLD LIMITED","2002-01-25","Materials",25793274
"SHO","SPORTSHERO LIMITED","2008-06-12","Media & Entertainment",12149138
"SHP","SOUTH HARZ POTASH LTD","2017-01-20","Materials",31383270
"SHV","SELECT HARVESTS LIMITED","1978-06-15","Food, Beverage & Tobacco",852390783
"SI6","SI6 METALS LIMITED","2008-01-18","Materials",19505644
"SIG","SIGMA HEALTHCARE LIMITED","2002-10-30","Health Care Equipment & Services",656751378
"SIH","SIHAYO GOLD LIMITED","1988-03-31","Materials",33169153
"SIL","SMILES INCLUSIVE LIMITED","2018-04-27","Health Care Equipment & Services","N/A"
"SIO","SIMONDS GROUP LIMITED","2014-11-17","Consumer Durables & Apparel",83428160
"SIQ","SMARTGROUP CORPORATION LTD","2014-07-02","Commercial & Professional Services",961502249
"SIS","SIMBLE SOLUTIONS LIMITED","2018-02-22","Software & Services",7968365
"SIT","SITE GROUP INTERNATIONAL LIMITED","1987-08-21","Consumer Services",8412451
"SIV","SIV CAPITAL LIMITED","2005-05-31","Capital Goods",11387696
"SIX","SPRINTEX LIMITED","2008-05-29","Automobiles & Components",15619907
"SKC","SKYCITY ENTERTAINMENT GROUP LIMITED","1999-03-29","Consumer Services",2303421783
"SKF","SKYFII LTD","1999-12-17","Software & Services",52419561
"SKI","SPARK INFRASTRUCTURE GROUP","2005-12-16","Utilities",4580430671
"SKN","SKIN ELEMENTS LIMITED","2017-01-06","Household & Personal Products","N/A"
"SKO","SERKO LIMITED","2018-06-25","Software & Services",743250026
"SKS","SKS TECHNOLOGIES GROUP LIMITED","1974-01-01","Capital Goods",26995901
"SKT","SKY NETWORK TELEVISION LIMITED.","2005-07-04","Media & Entertainment",270766331
"SKY","SKY METALS LIMITED","2004-03-11","Materials",29535606
"SLA","SILK LASER AUSTRALIA LIMITED","2020-12-15","Health Care Equipment & Services",206548770
"SLC","SUPERLOOP LIMITED","2015-06-04","Telecommunication Services",428437529
"SLH","SILK LOGISTICS HOLDINGS LIMITED","2021-07-09","Transportation",179822475
"SLK","SEALINK TRAVEL GROUP LIMITED","2013-10-16","Consumer Services",1983063356
"SLR","SILVER LAKE RESOURCES LIMITED","2007-11-14","Materials",1543234842
"SLX","SILEX SYSTEMS LIMITED","1998-05-07","Semiconductors & Semiconductor Equipment",169311992
"SLZ","SULTAN RESOURCES LTD","2018-08-16","Materials",13211534
"SM1","SYNLAIT MILK LIMITED","2016-11-25","Food, Beverage & Tobacco",800008879
"SMG","SOON MINING LIMITED","2016-03-21","Materials","N/A"
"SMI","SANTANA MINERALS LIMITED","2013-05-31","Materials",13113753
"SMN","STRUCTURAL MONITORING SYSTEMS PLC","2004-08-16","Technology Hardware & Equipment",49330533
"SMP","SMARTPAY HOLDINGS LIMITED","2013-09-04","Software & Services",179138557
"SMR","STANMORE RESOURCES LIMITED","2009-12-09","Energy",178468185
"SMX","SECURITY MATTERS LIMITED","2018-10-15","Software & Services",56217245
"SNC","SANDON CAPITAL INVESTMENTS LIMITED","2013-12-23","Not Applic",111443333
"SND","SAUNDERS INTERNATIONAL LIMITED","2007-12-05","Capital Goods",83716062
"SNG","SIREN GOLD LIMITED","2020-10-07","Materials",18893130
"SNL","SUPPLY NETWORK LIMITED","1987-09-10","Retailing",303394369
"SNS","SENSEN NETWORKS LIMITED","2007-05-31","Software & Services",72467713
"SNZ","SUMMERSET GROUP HOLDINGS LIMITED","2013-07-18","Health Care Equipment & Services",2914667717
"SO4","SALT LAKE POTASH LIMITED","2006-11-03","Materials",260374631
"SOL","WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","1903-01-21","Energy",7813863245
"SOM","SOMNOMED LIMITED","2004-08-27","Health Care Equipment & Services",187036052
"SOP","SYNERTEC CORPORATION LIMITED","2013-05-28","Commercial & Professional Services",28588845
"SOR","STRATEGIC ELEMENTS LIMITED","2011-08-11","Diversified Financials",102920671
"SOV","SOVEREIGN CLOUD HOLDINGS LIMITED","2020-12-14","Software & Services",60729809
"SP3","SPECTUR LIMITED","2017-08-01","Technology Hardware & Equipment",9567475
"SPA","SPACETALK LTD","2001-07-17","Media & Entertainment",36383918
"SPK","SPARK NEW ZEALAND LIMITED","1991-08-22","Telecommunication Services",8476747922
"SPL","STARPHARMA HOLDINGS LIMITED","2000-09-28","Pharmaceuticals, Biotechnology & Life Sciences",519779873
"SPN","SPARC TECHNOLOGIES LIMITED","1986-07-03","Materials",23252955
"SPQ","SUPERIOR RESOURCES LIMITED","2007-11-12","Materials",20720037
"SPT","SPLITIT PAYMENTS LTD","2019-01-29","Software & Services",247081967
"SPZ","SMART PARKING LIMITED","2007-01-09","Technology Hardware & Equipment",78777536
"SRG","SRG GLOBAL LIMITED","2007-08-17","Capital Goods",251874974
"SRH","SAFEROADS HOLDINGS LIMITED","2005-12-15","Transportation",8616210
"SRI","SIPA RESOURCES LIMITED","1990-08-23","Materials",11309903
"SRJ","SRJ TECHNOLOGIES GROUP PLC","2020-09-18","Energy",22612920
"SRK","STRIKE RESOURCES LIMITED","2000-03-07","Materials",78300000
"SRL","SUNRISE ENERGY METALS LIMITED","2007-11-09","Commercial & Professional Services",161247496
"SRN","SUREFIRE RESOURCES NL","1999-06-11","Materials",15311946
"SRV","SERVCORP LIMITED","1999-12-06","Real Estate",329180819
"SRY","STORY-I LIMITED","2015-01-20","Retailing","N/A"
"SRZ","STELLAR RESOURCES LIMITED","2005-04-28","Materials",19062822
"SSG","SHAVER SHOP GROUP LIMITED","2016-07-01","Retailing",128812494
"SSL","SIETEL LIMITED","1974-01-01","Real Estate",68063572
"SSM","SERVICE STREAM LIMITED","2004-12-09","Capital Goods",393977519
"SSR","SSR MINING INC.","2020-09-17","Materials",4581208986
"SST","STEAMSHIPS TRADING COMPANY LIMITED","1962-06-30","Capital Goods",299849652
"ST1","SPIRIT TECHNOLOGY SOLUTIONS LTD","1999-10-22","Telecommunication Services",208733455
"STA","STRANDLINE RESOURCES LIMITED","2000-05-17","Materials",223236510
"STG","STRAKER TRANSLATIONS LIMITED","2018-10-22","Media & Entertainment",118115547
"STK","STRICKLAND METALS LIMITED","2006-04-06","Materials",39552845
"STM","SUNSTONE METALS LTD","2007-03-22","Materials",37569790
"STN","SATURN METALS LIMITED","2018-03-09","Materials",51802675
"STO","SANTOS LIMITED","1954-10-01","Energy",13685743889
"STX","STRIKE ENERGY LIMITED","2004-08-05","Energy",596886411
"SUD","SUDA PHARMACEUTICALS LTD","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",26925919
"SUH","SOUTHERN HEMISPHERE MINING LIMITED","2010-01-05","Materials",13933066
"SUL","SUPER RETAIL GROUP LIMITED","2004-07-06","Retailing",2922194910
"SUN","SUNCORP GROUP LIMITED","1988-07-07","Insurance",14728457429
"SUP","SUPERIOR LAKE RESOURCES LIMITED","2009-12-18","Materials",19807339
"SUV","SUVO STRATEGIC MINERALS LIMITED","2011-05-17","Materials",87826338
"SVH","SILVER HERITAGE GROUP LIMITED","2016-08-29","Consumer Services","N/A"
"SVL","SILVER MINES LIMITED","2007-01-19","Materials",270787527
"SVM","SOVEREIGN METALS LIMITED","2007-01-22","Materials",248506128
"SVS","SUNVEST CORPORATION LIMITED","1987-08-20","Not Applic",6930644
"SVW","SEVEN GROUP HOLDINGS LIMITED","2010-04-30","Capital Goods",7998998148
"SVY","STAVELY MINERALS LIMITED","2014-05-07","Materials",108299003
"SW1","SWIFT MEDIA LIMITED","1994-06-30","Media & Entertainment",13308501
"SWF","SELFWEALTH LIMITED","2017-11-23","Diversified Financials",78036009
"SWK","SWICK MINING SERVICES LTD","2006-11-01","Materials",59165531
"SWM","SEVEN WEST MEDIA LIMITED","1992-01-09","Media & Entertainment",684425294
"SWP","SWOOP HOLDINGS LIMITED","1988-10-06","Telecommunication Services",187957993
"SXE","SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","2007-11-28","Capital Goods",125265302
"SXL","SOUTHERN CROSS MEDIA GROUP LIMITED","2005-11-17","Media & Entertainment",515217353
"SXY","SENEX ENERGY LIMITED","1984-08-15","Energy",579237010
"SYA","SAYONA MINING LIMITED","2004-03-30","Materials",424050340
"SYD","SYDNEY AIRPORT","2002-04-02","Transportation",20914926961
"SYR","SYRAH RESOURCES LIMITED","2007-09-11","Materials",567961079
"SYT","SYNTONIC LIMITED","2007-06-12","Software & Services","N/A"
"SZL","SEZZLE INC.","2019-07-30","Software & Services",1626246373
"T3D","333D LIMITED","2006-12-27","Commercial & Professional Services",4186133
"TAH","TABCORP HOLDINGS LIMITED","1994-08-15","Consumer Services",10819277444
"TAM","TANAMI GOLD NL","1986-12-11","Materials",86957181
"TAR","TARUGA MINERALS LIMITED","2012-02-07","Materials",23861195
"TAS","TASMAN RESOURCES LTD","2001-12-18","Materials",19463416
"TBA","TOMBOLA GOLD LTD","2012-05-03","Materials",22726127
"TBN","TAMBORAN RESOURCES LIMITED","2021-07-02","Energy",215443984
"TBR","TRIBUNE RESOURCES LIMITED","1989-05-04","Materials",261815704
"TCF","360 CAPITAL ENHANCED INCOME FUND","2006-10-17","Not Applic",18864415
"TCL","TRANSURBAN GROUP","1996-03-14","Transportation",38607345120
"TCO","TRANSMETRO CORPORATION LIMITED","1987-09-17","Consumer Services",11241534
"TD1","TALI DIGITAL LIMITED","2004-09-23","Health Care Equipment & Services",30752891
"TDL","TBG DIAGNOSTICS LIMITED","1995-12-22","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"TDO","3D OIL LIMITED","2007-05-22","Energy",12463853
"TEG","TRIANGLE ENERGY (GLOBAL) LIMITED","2006-01-06","Energy",15431087
"TEK","THORNEY TECHNOLOGIES LTD","2005-05-10","Not Applic",174745664
"TEM","TEMPEST MINERALS LIMITED","2017-03-28","Materials",5164035
"TER","TERRACOM LIMITED","2010-07-22","Energy",97968992
"TES","TEST SECURITY",,"Class Pend",0
"TFL","TASFOODS LIMITED","1999-12-16","Food, Beverage & Tobacco",40468806
"TG1","TECHGEN METALS LTD","2021-04-07","Materials",10244608
"TGA","THORN GROUP LIMITED","2006-12-13","Retailing",70873789
"TGF","TRIBECA GLOBAL NATURAL RESOURCES LIMITED","2018-10-12","Not Applic",133455000
"TGG","TEMPLETON GLOBAL GROWTH FUND LIMITED","1987-05-28","Not Applic",309031415
"TGH","TERRAGEN HOLDINGS LIMITED","2019-12-11","Materials",49167630
"TGM","THETA GOLD MINES LIMITED","2011-04-07","Materials",108197818
"TGN","TUNGSTEN MINING NL","2012-12-17","Materials",117962141
"TGP","360 CAPITAL GROUP","2005-07-26","Real Estate",204742320
"TGR","TASSAL GROUP LIMITED","2003-11-12","Food, Beverage & Tobacco",713469600
"THR","THOR MINING PLC","2006-09-27","Materials",24385792
"TI1","TOMBADOR IRON LIMITED","2004-11-22","Real Estate",198726093
"TIA","TIAN AN AUSTRALIA LIMITED","1985-12-11","Real Estate",27714826
"TIE","TIETTO MINERALS LIMITED","2018-01-18","Materials",159664910
"TIG","TIGERS REALM COAL LIMITED","2011-08-29","Materials",117600321
"TIN","TNT MINES LIMITED","2017-11-03","Materials",17406993
"TIP","TEAMINVEST PRIVATE GROUP LIMITED","2019-05-24","Diversified Financials",76994593
"TKL","TRAKA RESOURCES LIMITED","2003-11-20","Materials",8090511
"TKM","TREK METALS LIMITED","2007-07-05","Materials",16755436
"TLG","TALGA GROUP LTD","2010-07-09","Materials",391166579
"TLM","TALISMAN MINING LIMITED","2005-11-25","Materials",34526251
"TLS","TELSTRA CORPORATION LIMITED.","1997-11-17","Telecommunication Services",44362000999
"TLT","TILT RENEWABLES LIMITED.","2016-10-28","Utilities",2863937518
"TLX","TELIX PHARMACEUTICALS LIMITED","2017-11-15","Pharmaceuticals, Biotechnology & Life Sciences",1464441722
"TMG","TRIGG MINING LTD.","2019-10-03","Materials",11450667
"TMH","THE MARKET HERALD LIMITED","2016-09-15","Media & Entertainment",95736309
"TMK","TAMASKA OIL AND GAS LTD","2008-07-10","Energy",7520000
"TML","TIMAH RESOURCES LIMITED","2015-09-16","Utilities",6968765
"TMR","TEMPUS RESOURCES LTD","2018-08-15","Materials",18761476
"TMS","TENNANT MINERALS NL","2004-08-17","Materials",13961288
"TMT","TECHNOLOGY METALS AUSTRALIA LIMITED","2016-12-21","Materials",46555198
"TMX","TERRAIN MINERALS LIMITED","2006-03-23","Materials",5886088
"TMZ","THOMSON RESOURCES LIMITED","2010-12-17","Materials",50960526
"TNE","TECHNOLOGY ONE LIMITED","1999-12-08","Software & Services",2952735920
"TNG","TNG LIMITED","1971-02-18","Materials",79967811
"TNK","THINK CHILDCARE GROUP","2014-10-24","Consumer Services",198215578
"TNP","TRIPLE ENERGY LIMITED","2005-12-14","Energy","N/A"
"TNR","TORIAN RESOURCES LIMITED","1986-06-30","Materials",21734679
"TNT","TESSERENT LIMITED","2016-02-15","Software & Services",304667087
"TNY","TINYBEANS GROUP LTD","2017-04-21","Media & Entertainment",54622350
"TOE","TORO ENERGY LIMITED","2006-03-24","Energy",59499624
"TOM","TOMIZONE LIMITED","1974-01-01","Telecommunication Services","N/A"
"TON","TRITON MINERALS LTD","2009-08-14","Materials",39706382
"TOP","THORNEY OPPORTUNITIES LTD","2000-03-22","Not Applic",110934599
"TOR","TORQUE METALS LIMITED..","2021-06-25","Materials",12249611
"TOT","360 CAPITAL REIT","2015-04-22","Diversified Financials",131541468
"TOU","TLOU ENERGY LIMITED","2013-04-09","Energy",24608161
"TOY","TOYS'R'US ANZ LIMITED","2000-09-14","Retailing",135737417
"TPC","TPC CONSOLIDATED LIMITED","2007-07-16","Utilities",42089768
"TPD","TALON ENERGY LTD","2013-02-28","Energy",48134316
"TPG","TPG TELECOM LIMITED.","2020-06-30","Telecommunication Services",11416357848
"TPO","TIAN POH RESOURCES LIMITED","2014-11-11","Materials",17393077
"TPP","TEMPO AUSTRALIA LTD","1980-12-04","Commercial & Professional Services",26472392
"TPS","THREAT PROTECT AUSTRALIA LIMITED","1994-03-03","Commercial & Professional Services",6987732
"TPW","TEMPLE & WEBSTER GROUP LTD","2015-12-10","Retailing",1362322616
"TRA","TURNERS AUTOMOTIVE GROUP LIMITED","2017-07-28","Retailing",245297357
"TRJ","TRAJAN GROUP HOLDINGS LIMITED","2021-06-07","Pharmaceuticals, Biotechnology & Life Sciences",344610674
"TRL","TANGA RESOURCES LIMITED","2011-03-09","Materials",12582308
"TRM","TRUSCOTT MINING CORPORATION LIMITED","2007-04-18","Materials",4862129
"TRN","TORRENS MINING LIMITED","2021-01-07","Materials",25526624
"TRS","THE REJECT SHOP LIMITED","2004-06-01","Retailing",218845012
"TRT","TODD RIVER RESOURCES LIMITED","2017-04-06","Materials",39594217
"TRU","TRUSCREEN GROUP LIMITED","2021-01-06","Health Care Equipment & Services",23223440
"TRY","TROY RESOURCES LIMITED","1987-03-05","Materials",32660478
"TSC","TWENTY SEVEN CO. LIMITED","2006-10-18","Energy",11973606
"TSI","TOP SHELF INTERNATIONAL HOLDINGS LTD","2020-12-10","Food, Beverage & Tobacco",90477817
"TSL","TITANIUM SANDS LIMITED","1988-12-22","Materials","N/A"
"TSO","TESORO RESOURCES LIMITED","2004-01-28","Materials",91574609
"TTA","TTA HOLDINGS LIMITED","2006-02-16","Retailing",4672396
"TTB","TOTAL BRAIN LIMITED","2001-08-28","Health Care Equipment & Services",30325060
"TTI","TRAFFIC TECHNOLOGIES LTD.","1998-02-17","Transportation",21217887
"TTL","TRANSCENDENCE TECHNOLOGIES LIMITED","2003-03-21","Software & Services","N/A"
"TTM","TITAN MINERALS LIMITED","2006-11-15","Materials",136734292
"TTT","TITOMIC LIMITED","2017-09-21","Materials",62832364
"TUA","TUAS LIMITED","2020-06-30","Telecommunication Services",306179954
"TUL","TULLA RESOURCES PLC","2021-03-18","Materials",148044833
"TV2","TV2U INTERNATIONAL LIMITED","2007-06-07","Software & Services","N/A"
"TWD","TAMAWOOD LIMITED","2000-08-14","Consumer Durables & Apparel",105506022
"TWE","TREASURY WINE ESTATES LIMITED","2011-05-10","Food, Beverage & Tobacco",8561119367
"TWR","TOWER LIMITED","1999-09-28","Insurance",278287190
"TYM","TYMLEZ GROUP LIMITED","2018-12-13","Software & Services",19682212
"TYR","TYRO PAYMENTS LIMITED","2019-12-06","Software & Services",1746424653
"TYX","TYRANNA RESOURCES LIMITED","2007-07-11","Materials",7694164
"TZL","TZ LIMITED","1987-01-22","Technology Hardware & Equipment",20298529
"TZN","TERRAMIN AUSTRALIA LIMITED.","2003-12-23","Materials",67730007
"UBI","UNIVERSAL BIOSENSORS INC.","2006-12-13","Health Care Equipment & Services",130648825
"UBN","URBANISE.COM LIMITED","2014-09-22","Software & Services",79813561
"UCM","USCOM LIMITED","2003-12-10","Health Care Equipment & Services",24931428
"UCW","UCW LIMITED","2004-06-25","Consumer Services",18214739
"UMG","UNITED MALT GROUP LIMITED","2020-03-24","Food, Beverage & Tobacco",1406141935
"UNI","UNIVERSAL STORE HOLDINGS LIMITED","2020-11-16","Retailing",540917228
"UOS","UNITED OVERSEAS AUSTRALIA LIMITED","1988-02-17","Real Estate",1157430703
"URF","US MASTERS RESIDENTIAL PROPERTY FUND","2012-07-23","Real Estate",111270554
"URW","UNIBAIL-RODAMCO-WESTFIELD","2018-05-31","Real Estate",15467136826
"UUL","ULTIMA UNITED LIMITED","2007-06-01","Real Estate",22031992
"UUV","UUV AQUABOTIX LTD","2017-04-28","Capital Goods","N/A"
"UWL","UNITI GROUP LIMITED","2019-02-13","Telecommunication Services",2271272011
"VAL","VALOR RESOURCES LIMITED","1997-08-29","Materials",26044483
"VAN","VANGO MINING LIMITED","2005-03-08","Materials",74743451
"VAR","VARISCAN MINES LIMITED","1987-08-20","Materials",17296957
"VBC","VERBREC LIMITED","2007-12-11","Capital Goods",40776571
"VBS","VECTUS BIOSYSTEMS LIMITED","2016-02-23","Pharmaceuticals, Biotechnology & Life Sciences",42576505
"VCX","VICINITY CENTRES","2011-12-05","Real Estate",6760128907
"VEA","VIVA ENERGY GROUP LIMITED","2018-07-13","Energy",3343888386
"VEE","VEEM LTD","2016-10-26","Capital Goods",154700000
"VEN","VINTAGE ENERGY LTD","2018-09-17","Energy",39950186
"VG1","VGI PARTNERS GLOBAL INVESTMENTS LIMITED","2017-09-28","Not Applic",920375740
"VG8","VGI PARTNERS ASIAN INVESTMENTS LIMITED","2019-11-13","Not Applic",529836119
"VGI","VGI PARTNERS LIMITED","2019-06-21","Diversified Financials",494925738
"VGL","VISTA GROUP INTERNATIONAL LIMITED.","2014-08-11","Software & Services",487375550
"VHT","VOLPARA HEALTH TECHNOLOGIES LIMITED","2016-04-27","Health Care Equipment & Services",287755768
"VIA","VIAGOLD RARE EARTH RESOURCES HOLDINGS LIMITED","1996-02-07","Materials",6831617
"VIC","VICTORY MINES LIMITED","2012-10-09","Materials",13920632
"VIG","VICTOR GROUP HOLDINGS LIMITED","2014-05-09","Software & Services",17166800
"VII","VIETNAM INDUSTRIAL INVESTMENTS LIMITED","1995-09-18","Materials","N/A"
"VIP","VIP GLOVES LTD","1997-02-05","Health Care Equipment & Services",36936427
"VKA","VIKING MINES LIMITED","2010-05-12","Materials",18382652
"VLS","VITA LIFE SCIENCES LIMITED..","2007-08-23","Pharmaceuticals, Biotechnology & Life Sciences",56338295
"VMC","VENUS METALS CORPORATION LIMITED","2007-06-12","Materials",25683376
"VMG","VDM GROUP LIMITED","2006-02-15","Capital Goods",10391491
"VML","VITAL METALS LIMITED","2005-10-11","Materials",203557421
"VMS","VENTURE MINERALS LIMITED","2006-09-22","Materials",159561514
"VMT","VMOTO LIMITED","2002-01-31","Automobiles & Components",98871080
"VMX","VALMEC LIMITED","2005-01-13","Energy",50353286
"VMY","VIMY RESOURCES LIMITED","2008-05-23","Energy",113597615
"VN8","VONEX LIMITED..","2018-06-13","Telecommunication Services",25107351
"VOC","VOCUS GROUP LIMITED","1999-06-10","Telecommunication Services","N/A"
"VOL","VICTORY OFFICES LIMITED","2019-06-14","Real Estate",26834163
"VOR","VORTIV LIMITED","2001-08-08","Software & Services",5339926
"VPR","VOLT POWER GROUP LIMITED","1991-04-18","Utilities",28033601
"VR1","VECTION TECHNOLOGIES LTD","2017-03-17","Software & Services",67873296
"VR8","VANADIUM RESOURCES LIMITED","2017-11-03","Materials",22177538
"VRC","VOLT RESOURCES LIMITED","2003-12-19","Materials","N/A"
"VRS","VERIS LIMITED","2008-06-25","Commercial & Professional Services",35784050
"VRT","VIRTUS HEALTH LIMITED","2013-06-11","Health Care Equipment & Services",551474975
"VRX","VRX SILICA LIMITED","2011-02-24","Materials",114557430
"VTG","VITA GROUP LIMITED","2005-11-02","Retailing",165604453
"VTI","VISIONEERING TECHNOLOGIES, INC.","2017-03-28","Health Care Equipment & Services",26117228
"VUK","VIRGIN MONEY UK PLC","2016-02-03","Banks",4823977994
"VUL","VULCAN ENERGY RESOURCES LIMITED","2018-05-30","Materials",976656835
"VVA","VIVA LEISURE LIMITED","2019-06-07","Consumer Services",147521198
"VXR","VENTUREX RESOURCES LIMITED","2007-04-27","Materials",467370121
"VYS","VYSARN LIMITED","2007-12-14","Materials",35599939
"WAA","WAM ACTIVE LIMITED","2008-01-11","Not Applic",77575801
"WAF","WEST AFRICAN RESOURCES LIMITED","2010-06-11","Materials",949504850
"WAK","WA KAOLIN LIMITED","2020-11-26","Materials",69291362
"WAM","WAM CAPITAL LIMITED","1999-08-12","Not Applic",1949868611
"WAR","WAM STRATEGIC VALUE LIMITED","2021-06-28","Not Applic",234000001
"WAT","WATERCO LIMITED","1989-03-23","Consumer Durables & Apparel",103519517
"WAX","WAM RESEARCH LIMITED","2003-08-19","Not Applic",327016125
"WBC","WESTPAC BANKING CORPORATION","1970-07-18","Banks",90834333166
"WBE","WHITEBARK ENERGY LTD","2004-03-10","Energy","N/A"
"WBT","WEEBIT NANO LTD","2010-12-21","Technology Hardware & Equipment",244189947
"WC8","WILDCAT RESOURCES LIMITED","2004-08-04","Materials",12420000
"WCG","WEBCENTRAL GROUP LIMITED.","1999-12-14","Software & Services",79236496
"WCN","WHITE CLIFF MINERALS LIMITED","2007-12-14","Materials",7757946
"WEB","WEBJET LIMITED","1997-11-19","Retailing",1800296640
"WEC","WHITE ENERGY COMPANY LIMITED","1999-07-23","Energy",116171808
"WEL","WINCHESTER ENERGY LTD","2014-09-23","Energy",13820898
"WES","WESFARMERS LIMITED","1984-11-15","Retailing",69481730030
"WFL","WELLFULLY LIMITED","2000-05-29","Pharmaceuticals, Biotechnology & Life Sciences",14897253
"WGB","WAM GLOBAL LIMITED","2018-06-22","Not Applic",627529760
